english_command,korean_command,intent,target_type,attribute,spatial_relation,spatial_reference,position,jsonl,split
paste gray text below the checkout,결제 아래에 회색 텍스트 붙여넣기,paste,text,gray,below,checkout,NONE,"{""text"": ""paste gray text below the checkout"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""below"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
tap black button to the left of the last item,마지막 항목 왼쪽에 검정색 버튼 탭,tap,button,black,left_of,last item,NONE,"{""text"": ""tap black button to the left of the last item"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""black"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
tap on switch below the last item,마지막 항목 아래에 스위치 탭,tap,switch,NONE,below,last item,NONE,"{""text"": ""tap on switch below the last item"", ""labels"": {""intent"": ""tap"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
scroll down to menu below the payment,결제 아래에 아래로 스크롤하여 메뉴 이동,scroll,menu,NONE,below,payment,NONE,"{""text"": ""scroll down to menu below the payment"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
navigate to 1st label left of the first email,첫 번째 이메일 좌측에 아래로 스크롤하여 1번째 텍스트 이동,scroll,text,NONE,left_of,first email,1st,"{""text"": ""navigate to 1st label left of the first email"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""first email"", ""position"": ""1st""}}",train
copy text to the right of the address,주소 오른쪽에 텍스트 복사,copy,text,NONE,right_of,address,NONE,"{""text"": ""copy text to the right of the address"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
press the last green switch below the profile,프로필 아래에 마지막 녹색 스위치 press,click,switch,green,below,profile,last,"{""text"": ""press the last green switch below the profile"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""green"", ""spatial_relation"": ""below"", ""spatial_reference"": ""profile"", ""position"": ""last""}}",val
open link to the left of the wi-fi,Wi-Fi 왼쪽에 링크 열기,open,link,NONE,left_of,wi-fi,NONE,"{""text"": ""open link to the left of the wi-fi"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
tap the 1st link,1번째 링크 탭,tap,link,NONE,NONE,NONE,1st,"{""text"": ""tap the 1st link"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""1st""}}",train
remove text to the left of the first email,첫 번째 이메일 왼쪽에 텍스트 삭제,delete,text,NONE,left_of,first email,NONE,"{""text"": ""remove text to the left of the first email"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",val
long-press orange text above the login,로그인 위에 주황색 텍스트 long-press,long-press,text,orange,above,login,NONE,"{""text"": ""long-press orange text above the login"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""orange"", ""spatial_relation"": ""above"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
scroll to white menu next to the settings,설정 옆에 스크롤하여 흰색 메뉴 이동,scroll,menu,white,next_to,settings,NONE,"{""text"": ""scroll to white menu next to the settings"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""white"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
launch menu above the menu,메뉴 위에 메뉴 실행,open,menu,NONE,above,menu,NONE,"{""text"": ""launch menu above the menu"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",train
delete blue button to the right of the login,로그인 오른쪽에 파란색 버튼 삭제,delete,button,blue,right_of,login,NONE,"{""text"": ""delete blue button to the right of the login"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""blue"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
trash the third picture over the wi-fi,wi-fi 위쪽에  image,delete,image,NONE,above,wi-fi,3rd,"{""text"": ""trash the third picture over the wi-fi"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""wi-fi"", ""position"": ""3rd""}}",train
paste third text element on the left side of the notifications,notifications 왼쪽에  text,paste,text,NONE,left_of,notifications,3rd,"{""text"": ""paste third text element on the left side of the notifications"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""notifications"", ""position"": ""3rd""}}",train
access yellow hyperlink left of the help,도움말 좌측에 노란색 링크 실행,open,link,yellow,left_of,help,NONE,"{""text"": ""access yellow hyperlink left of the help"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""yellow"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
select text to the right of the login,로그인 오른쪽에 텍스트 선택,click,text,NONE,right_of,login,NONE,"{""text"": ""select text to the right of the login"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
erase first action button on the left side of the search,search 왼쪽에  button,delete,button,NONE,left_of,search,1st,"{""text"": ""erase first action button on the left side of the search"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""search"", ""position"": ""1st""}}",train
tap the 1st tab to the right of the checkout,결제 오른쪽에 1번째 탭 탭,tap,tab,NONE,right_of,checkout,1st,"{""text"": ""tap the 1st tab to the right of the checkout"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""checkout"", ""position"": ""1st""}}",train
insert 2nd label on top of the cart,장바구니 상단에 2번째 텍스트 붙여넣기,paste,text,NONE,above,cart,2nd,"{""text"": ""insert 2nd label on top of the cart"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""2nd""}}",test
paste text to the right of the help,도움말 오른쪽에 텍스트 붙여넣기,paste,text,NONE,right_of,help,NONE,"{""text"": ""paste text to the right of the help"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
trash text,텍스트 삭제,delete,text,NONE,NONE,NONE,NONE,"{""text"": ""trash text"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
paste text element underneath the wi-fi,wi-fi 아래쪽에  text,paste,text,NONE,below,wi-fi,NONE,"{""text"": ""paste text element underneath the wi-fi"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",test
copy text below the help,도움말 아래에 텍스트 복사,copy,text,NONE,below,help,NONE,"{""text"": ""copy text below the help"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""help"", ""position"": ""NONE""}}",train
remove white button next to the wi-fi,Wi-Fi 옆에 흰색 버튼 삭제,delete,button,white,next_to,wi-fi,NONE,"{""text"": ""remove white button next to the wi-fi"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""white"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",val
paste the 1st text to the left of the address,주소 왼쪽에 1번째 텍스트 붙여넣기,paste,text,NONE,left_of,address,1st,"{""text"": ""paste the 1st text to the left of the address"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""1st""}}",train
scroll to gray menu to the right of the cart,장바구니 오른쪽에 스크롤하여 회색 메뉴 이동,scroll,menu,gray,right_of,cart,NONE,"{""text"": ""scroll to gray menu to the right of the cart"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""gray"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
remove the last image,마지막 이미지 삭제,delete,image,NONE,NONE,NONE,last,"{""text"": ""remove the last image"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",train
copy text to the right of the address,주소 오른쪽에 텍스트 복사,copy,text,NONE,right_of,address,NONE,"{""text"": ""copy text to the right of the address"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
scroll down to the 2nd menu below the last item,마지막 항목 아래에 아래로 스크롤하여 2번째 메뉴 이동,scroll,menu,NONE,below,last item,2nd,"{""text"": ""scroll down to the 2nd menu below the last item"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""last item"", ""position"": ""2nd""}}",train
copy text next to the search,검색 옆에 텍스트 복사,copy,text,NONE,next_to,search,NONE,"{""text"": ""copy text next to the search"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
tap the 1st checkbox to the right of the search,검색 오른쪽에 1번째 체크박스 탭,tap,checkbox,NONE,right_of,search,1st,"{""text"": ""tap the 1st checkbox to the right of the search"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""search"", ""position"": ""1st""}}",train
copy white text below the cart,장바구니 아래에 흰색 텍스트 복사,copy,text,white,below,cart,NONE,"{""text"": ""copy white text below the cart"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""white"", ""spatial_relation"": ""below"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
tap the 3rd tab,3번째 탭 탭,tap,tab,NONE,NONE,NONE,3rd,"{""text"": ""tap the 3rd tab"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
paste text,텍스트 붙여넣기,paste,text,NONE,NONE,NONE,NONE,"{""text"": ""paste text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
paste text to the left of the address,주소 왼쪽에 텍스트 붙여넣기,paste,text,NONE,left_of,address,NONE,"{""text"": ""paste text to the left of the address"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",test
scroll down to the 3rd orange menu above the home,홈 위에 아래로 스크롤하여 3번째 주황색 메뉴 이동,scroll,menu,orange,above,home,3rd,"{""text"": ""scroll down to the 3rd orange menu above the home"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""orange"", ""spatial_relation"": ""above"", ""spatial_reference"": ""home"", ""position"": ""3rd""}}",train
insert purple label on top of the cart,장바구니 상단에 보라색 텍스트 붙여넣기,paste,text,purple,above,cart,NONE,"{""text"": ""insert purple label on top of the cart"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""purple"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",val
delete text above the search,검색 위에 텍스트 삭제,delete,text,NONE,above,search,NONE,"{""text"": ""delete text above the search"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
copy purple text to the left of the settings,설정 왼쪽에 보라색 텍스트 복사,copy,text,purple,left_of,settings,NONE,"{""text"": ""copy purple text to the left of the settings"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""purple"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
press orange switch underneath the settings,settings 하단에 orange switch,click,switch,orange,below,settings,NONE,"{""text"": ""press orange switch underneath the settings"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""orange"", ""spatial_relation"": ""below"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",val
launch tab to the left of the settings,설정 왼쪽에 탭 실행,open,tab,NONE,left_of,settings,NONE,"{""text"": ""launch tab to the left of the settings"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",test
copy pink text to the right of the home,홈 오른쪽에 분홍색 텍스트 복사,copy,text,pink,right_of,home,NONE,"{""text"": ""copy pink text to the right of the home"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",test
press and hold the last red image,마지막 빨간색 이미지 길게 누르기,long-press,image,red,NONE,NONE,last,"{""text"": ""press and hold the last red image"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""red"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",train
hit switch directly above the payment,payment 상단에  switch,tap,switch,NONE,above,payment,NONE,"{""text"": ""hit switch directly above the payment"", ""labels"": {""intent"": ""tap"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
press pink tab to the right of the notifications,알림 오른쪽에 분홍색 탭 press,click,tab,pink,right_of,notifications,NONE,"{""text"": ""press pink tab to the right of the notifications"", ""labels"": {""intent"": ""click"", ""target_type"": ""tab"", ""attribute"": ""pink"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
click on the last icon below the last item,마지막 항목 아래에 마지막 아이콘 클릭,click,icon,NONE,below,last item,last,"{""text"": ""click on the last icon below the last item"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""last item"", ""position"": ""last""}}",train
press and hold the last red icon,마지막 빨간색 아이콘 길게 누르기,long-press,icon,red,NONE,NONE,last,"{""text"": ""press and hold the last red icon"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""red"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",train
paste the 3rd text,3번째 텍스트 붙여넣기,paste,text,NONE,NONE,NONE,3rd,"{""text"": ""paste the 3rd text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
copy text above the first email,첫 번째 이메일 위에 텍스트 복사,copy,text,NONE,above,first email,NONE,"{""text"": ""copy text above the first email"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
remove purple button below the menu,메뉴 아래에 보라색 버튼 삭제,delete,button,purple,below,menu,NONE,"{""text"": ""remove purple button below the menu"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""purple"", ""spatial_relation"": ""below"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",test
paste text to the left of the search,검색 왼쪽에 텍스트 붙여넣기,paste,text,NONE,left_of,search,NONE,"{""text"": ""paste text to the left of the search"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
paste text to the left of the cart,장바구니 왼쪽에 텍스트 붙여넣기,paste,text,NONE,left_of,cart,NONE,"{""text"": ""paste text to the left of the cart"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
press and hold text below the settings,설정 아래에 텍스트 길게 누르기,long-press,text,NONE,below,settings,NONE,"{""text"": ""press and hold text below the settings"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
long-press red button,빨간색 버튼 long-press,long-press,button,red,NONE,NONE,NONE,"{""text"": ""long-press red button"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""red"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",val
tap switch below the profile,프로필 아래에 스위치 탭,tap,switch,NONE,below,profile,NONE,"{""text"": ""tap switch below the profile"", ""labels"": {""intent"": ""tap"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
click on orange icon,주황색 아이콘 클릭,click,icon,orange,NONE,NONE,NONE,"{""text"": ""click on orange icon"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""orange"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
navigate to final black panel under the notifications,알림 하단에 아래로 스크롤하여 마지막 검정색 탭 이동,scroll,tab,black,below,notifications,last,"{""text"": ""navigate to final black panel under the notifications"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""black"", ""spatial_relation"": ""below"", ""spatial_reference"": ""notifications"", ""position"": ""last""}}",test
remove the 3rd pink button to the left of the help,도움말 왼쪽에 3번째 분홍색 버튼 삭제,delete,button,pink,left_of,help,3rd,"{""text"": ""remove the 3rd pink button to the left of the help"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""pink"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""help"", ""position"": ""3rd""}}",val
tap on tab above the profile,프로필 위에 탭 탭,tap,tab,NONE,above,profile,NONE,"{""text"": ""tap on tab above the profile"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
access panel under the login,로그인 하단에 탭 실행,open,tab,NONE,below,login,NONE,"{""text"": ""access panel under the login"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",val
open the last menu below the last item,마지막 항목 아래에 마지막 메뉴 열기,open,menu,NONE,below,last item,last,"{""text"": ""open the last menu below the last item"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""last item"", ""position"": ""last""}}",test
press and hold the 3rd button,3번째 버튼 길게 누르기,long-press,button,NONE,NONE,NONE,3rd,"{""text"": ""press and hold the 3rd button"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",train
scroll to menu below the home,홈 아래에 스크롤하여 메뉴 이동,scroll,menu,NONE,below,home,NONE,"{""text"": ""scroll to menu below the home"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
copy green text below the search,검색 아래에 녹색 텍스트 복사,copy,text,green,below,search,NONE,"{""text"": ""copy green text below the search"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""below"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",test
delete final photo on top of the payment,결제 상단에 마지막 이미지 삭제,delete,image,NONE,above,payment,last,"{""text"": ""delete final photo on top of the payment"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""payment"", ""position"": ""last""}}",train
long-press image to the left of the notifications,알림 왼쪽에 이미지 long-press,long-press,image,NONE,left_of,notifications,NONE,"{""text"": ""long-press image to the left of the notifications"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",test
click white image above the login,로그인 위에 흰색 이미지 클릭,click,image,white,above,login,NONE,"{""text"": ""click white image above the login"", ""labels"": {""intent"": ""click"", ""target_type"": ""image"", ""attribute"": ""white"", ""spatial_relation"": ""above"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
copy red text to the left of the payment,결제 왼쪽에 빨간색 텍스트 복사,copy,text,red,left_of,payment,NONE,"{""text"": ""copy red text to the left of the payment"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",test
touch 3rd orange hyperlink under the menu,메뉴 하단에 3번째 주황색 링크 탭,tap,link,orange,below,menu,3rd,"{""text"": ""touch 3rd orange hyperlink under the menu"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""orange"", ""spatial_relation"": ""below"", ""spatial_reference"": ""menu"", ""position"": ""3rd""}}",train
open menu next to the first email,첫 번째 이메일 옆에 메뉴 열기,open,menu,NONE,next_to,first email,NONE,"{""text"": ""open menu next to the first email"", ""labels"": {""intent"": ""open"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
press and hold the 2nd white text,2번째 흰색 텍스트 길게 누르기,long-press,text,white,NONE,NONE,2nd,"{""text"": ""press and hold the 2nd white text"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""white"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""2nd""}}",train
click on the 3rd link,3번째 링크 클릭,click,link,NONE,NONE,NONE,3rd,"{""text"": ""click on the 3rd link"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""3rd""}}",val
remove image above the home,home 위에  image,delete,image,NONE,above,home,NONE,"{""text"": ""remove image above the home"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
tap on icon,아이콘 탭,tap,icon,NONE,NONE,NONE,NONE,"{""text"": ""tap on icon"", ""labels"": {""intent"": ""tap"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
tap on hyperlink on top of the search,검색 상단에 링크 press,click,link,NONE,above,search,NONE,"{""text"": ""tap on hyperlink on top of the search"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
touch 2nd check box on top of the help,도움말 상단에 2번째 체크박스 탭,tap,checkbox,NONE,above,help,2nd,"{""text"": ""touch 2nd check box on top of the help"", ""labels"": {""intent"": ""tap"", ""target_type"": ""checkbox"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""help"", ""position"": ""2nd""}}",train
launch the 1st pink link to the left of the first email,첫 번째 이메일 왼쪽에 1번째 분홍색 링크 실행,open,link,pink,left_of,first email,1st,"{""text"": ""launch the 1st pink link to the left of the first email"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""pink"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""first email"", ""position"": ""1st""}}",train
copy text above the payment,결제 위에 텍스트 복사,copy,text,NONE,above,payment,NONE,"{""text"": ""copy text above the payment"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
click on black button to the left of the address,주소 왼쪽에 검정색 버튼 클릭,click,button,black,left_of,address,NONE,"{""text"": ""click on black button to the left of the address"", ""labels"": {""intent"": ""click"", ""target_type"": ""button"", ""attribute"": ""black"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",test
navigate to 1st blue label under the last item,마지막 항목 하단에 아래로 스크롤하여 1번째 파란색 텍스트 이동,scroll,text,blue,below,last item,1st,"{""text"": ""navigate to 1st blue label under the last item"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""blue"", ""spatial_relation"": ""below"", ""spatial_reference"": ""last item"", ""position"": ""1st""}}",train
scroll down to the last gray text,아래로 스크롤하여 마지막 회색 텍스트 이동,scroll,text,gray,NONE,NONE,last,"{""text"": ""scroll down to the last gray text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",val
tap purple icon to the left of the login,로그인 왼쪽에 보라색 아이콘 탭,tap,icon,purple,left_of,login,NONE,"{""text"": ""tap purple icon to the left of the login"", ""labels"": {""intent"": ""tap"", ""target_type"": ""icon"", ""attribute"": ""purple"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
long-press the last image to the right of the checkout,결제 오른쪽에 마지막 이미지 long-press,long-press,image,NONE,right_of,checkout,last,"{""text"": ""long-press the last image to the right of the checkout"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""checkout"", ""position"": ""last""}}",train
long-press button above the checkout,결제 위에 버튼 long-press,long-press,button,NONE,above,checkout,NONE,"{""text"": ""long-press button above the checkout"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
