command,intent,target,attribute,label,index,relation,reference
long_press the gallery,long_press,gallery,italic,upload,38,under,
unpin the document,unpin,document,,back,58,below,save button
please c1o5e message,close,message,red,,68,lower_center,phone field
can you login tab,login,tab,,,0,under,
just submit text,submit,text,,ok,42,below,edit button
delet thn graph,delete,graph,,,,farthest,
like login on file,login,file,,,,between,
accept gallery,accept,gallery,yellow,alert,73,last_column,filter button
c|ose the icon,close,icon,,login,79,last,
long_press 8he taa,long_press,tab,,,,second_row,
de1ete ihe calendar,delete,calendar,strikethrough,,90,nearest,
launch iaage,launch,image,yellow,,7,lower_center,search bar
just login the message,login,message,secondary,,57,next_to,
long_pr3ss the gallery,long_press,gallery,,next,56,in_front_of,cart icon
accept the input,accept,input,,,15,third,
drag the success progress_bar,drag,progress_bar,success,import,,second_last,
uh leaf the tab,delete,tab,red,previous,21,under,address field
can you launch file,launch,file,,export,,below,cart icon
can you close chart,close,chart,focused,,65,third,phone field
please submit dropdown,submit,dropdown,danger,message,62,bottom_right,notification panel
삭제해 tab,delete,tab,italic,,55,last_column,
i think drag checkbox,drag,checkbox,info,upload,56,second,
please unpin switch,unpin,switch,collapsed,logout,,first_row,
please launch camera,launch,camera,info,,33,last_column,
cyn y6u accept menu,accept,menu,underlined,,,first_column,
check the dialog,check,dialog,small,login,,lower_center,cancel button
you know can you launch dropdown,launch,dropdown,blue,refresh,,between,header
login dialog,login,dialog,info,,,top_right,search bar
submit th3 dropdown,submit,dropdown,success,email,42,first_column,
like close notification,close,notification,underlined,delete,67,next_to,
please drag chart,drag,chart,,login,,top_right,
long_press on progress_bar,long_press,progress_bar,warning,search,16,center_right,
delete the gallery,delete,gallery,,retry,,lower_center,
삭제해 dropdown,delete,dropdown,,,,between,remove button
can you launch radio_button,launch,radio_button,disabled,,81,first_row,image gallery
close password,close,password,small,import,,center_right,settings button
i think please launch table,launch,table,,remove,,second,
close image,close,image,primary,ok,,before,sidebar menu
drag an camera,drag,camera,red,alert,66,center_right,search field
like can you unpin calendar,unpin,calendar,large,,,farthest,
please launch text,launch,text,,success,,first_column,
삭제 link,delete,link,expanded,,94,before,
actually launch dropdown,launch,dropdown,,,34,left_edge,image gallery
drag calendar,drag,calendar,,,92,second_last,
long_press the message,long_press,message,large,ok,64,outside,
actually drag the phone_number,drag,phone_number,red,,67,behind,import button
accept the message,accept,message,highlighted,,50,left,
close the menu,close,menu,,,29,bottom_right,
check 0he calendar,check,calendar,warning,home,5,after,submit button
long_press the document,long_press,document,bold,export,,below,
delete on gallery,delete,gallery,,,94,after,upload button
please delete input,delete,input,secondary,download,71,next_to,
please ltng_press tab,long_press,tab,,,28,before,
accept 4he camera,accept,camera,collapsed,,50,nearest,calendar view
close 체크박스,close,checkbox,secondary,upload,,left,save button
long_press noti7ication,long_press,notification,,add,23,outside,
please drag progress_bar,drag,progress_bar,info,warning,84,nearest,
전송 search_box,submit,search_box,,export,39,left_edge,
delet tyb,delete,tab,red,export,97,second,
long_press texp,long_press,text,dark,,,center_right,audio player
unpin file,unpin,file,expanded,,37,farthest,
전송 radio_button,submit,radio_button,,edit,35,farthest,
please launch audio,launch,audio,bold,error,,first_row,delete button
delete the camera,delete,camera,,,63,last_column,
p1ease unpin card,unpin,card,primary,back,,next_to,modal
drqg imput,drag,input,,,84,outside,
check on calendar,check,calendar,,export,79,last_column,
you know check the radio_button,check,radio_button,success,,,farthest,
unpin on text,unpin,text,italic,success,87,center,edit button
can you launch phone_number,launch,phone_number,,,,next_to,
long_press file,long_press,file,underlined,email,13,above,home button
nan you cheyk phone_numben,check,phone_number,expanded,export,31,inside,filter button
login the password,login,password,red,,28,left,map view
delete the table,delete,table,highlighted,,,behind,
unpin the dropdown,unpin,dropdown,collapsed,,25,before,
please accept message,accept,message,collapsed,back,,first_row,sort button
login the popup,login,popup,yellow,,57,between,image gallery
please long_press file,long_press,file,small,,,in_front_of,
please delete audio,delete,audio,italic,,89,top_right,footer
like please login input,login,input,strikethrough,,96,top_right,search field
i think login message,login,message,,,,nearest,
check calendar,check,calendar,blue,address,95,inside,notification panel
drag seadch_box,drag,search_box,,,,under,
can you check search_box,check,search_box,,success,76,in_front_of,
just please unpin checkbox,unpin,checkbox,yellow,search,,bottom_left,
check gallery,check,gallery,green,,,farthest,
please unpin gallery,unpin,gallery,highlighted,search,63,next_to,
u8pin dable,unpin,table,,,27,second_row,
please check gallery,check,gallery,,,54,behind,
login document,login,document,,,41,above,back button
long_press graph,long_press,graph,large,phone,,next_to,
maybe please drag file,drag,file,,,67,first_row,
long_press link,long_press,link,,search,79,in_front_of,export button
확인하세요 camera,submit,camera,danger,,50,right_edge,
launch inpu7,launch,input,,profile,,next_to,
unpin the search_box,unpin,search_box,success,search,13,left_edge,
accept message,accept,message,,refresh,81,first_column,
close the search_box,close,search_box,light,,94,before,
submit camer@,submit,camera,disabled,remove,67,first_column,phone field
delete progress_bar,delete,progress_bar,focused,,,last,
can you check message,check,message,green,share,,bottom_right,
please launc5 table,launch,table,light,,,behind,
please c1o5e icon,close,icon,,,6,first_column,
summit t7e fil5,submit,file,collapsed,download,31,below,sidebar menu
cseck card,check,card,expanded,,22,below,modal
can you unpin popup,unpin,popup,,info,,last,
지우세요 menu,delete,menu,,remove,49,bottom_left,delete button
please drag text,drag,text,,phone,1,left_edge,
please login icon,login,icon,,register,98,between,notification panel
please close popup,close,popup,large,save,37,before,popup
check table,check,table,success,success,,farthest,
close menu,close,menu,bold,,,nearest,import button
bogin tab,login,tab,,,2,behind,
unpin the file,unpin,file,strikethrough,submit,31,inside,
accept inpu7,accept,input,,,23,last_column,
please unpin image,unpin,image,,,71,first_row,
can you delete switch,delete,switch,strikethrough,success,36,next_to,
close thm inpu,close,input,info,warning,7,second_last,
delete the input,delete,input,primary,home,,first_row,
like login dialog,login,dialog,danger,error,32,bottom_left,audio player
oan 1ou drag graph,drag,graph,,,62,last_column,
i think close switch,close,switch,success,,,last,
check checkbox,check,checkbox,expanded,next,30,lower_center,
launch the table,launch,table,,retry,96,farthest,image gallery
can you launch audio,launch,audio,,,88,second,
long_press the input,long_press,input,,,76,third,
accept the ilider,accept,slider,,add,48,between,
please long_press card,long_press,card,,,58,farthest,
login the audio,login,audio,,error,39,below,modal
maybe check the audio,check,audio,green,save,60,center_right,
delete checkbox,delete,checkbox,,filter,19,before,
de1ete the slider,delete,slider,,login,12,before,
just login notification,login,notification,,,8,first_row,filter button
delet dialog,delete,dialog,blue,message,,second_last,
please drag popup,drag,popup,,,,left,phone field
can you close card,close,card,collapsed,filter,78,third,
please lojin card,login,card,,back,,behind,card list
launch the li0k,launch,link,underlined,,,bottom_right,
wheck tee search_box,check,search_box,expanded,,,farthest,
can you long_press message,long_press,message,,share,,second_last,submit button
you know long_press the progress_bar,long_press,progress_bar,,,,left,
maybe drag search_box,drag,search_box,,add,,last,
close camera,close,camera,,previous,,in_front_of,
accepo thx switch,accept,switch,highlighted,,,below,
long_pres5 phone_numb3r,long_press,phone_number,,,7,below,
i think close tab,close,tab,,share,10,between,back button
drag dialog,drag,dialog,danger,,45,last,profile icon
long_press uhe search_box,long_press,search_box,,,25,first_column,
uh leaf text,delete,text,,next,0,in_front_of,
c1o5e radio_button,close,radio_button,success,warning,15,left_edge,
leng_press the link,long_press,link,,notification,40,second_last,search bar
you know long_press the audio,long_press,audio,,loading,13,first_column,
check on menu,check,menu,collapsed,confirm,12,bottom_right,
accept radio_button,accept,radio_button,success,retry,8,farthest,
like submit the card,submit,card,danger,address,10,top_right,
delte popup,delete,popup,small,,26,bottom_left,video player
확인하세요 file,submit,file,yellow,previous,,second_last,search bar
close peone_number,close,phone_number,,email,,below,filter button
확인하세요 document,submit,document,,loading,51,second_row,password field
unpin document,unpin,document,light,notification,,inside,card list
can you close calendar,close,calendar,success,download,1,above,modal
check the calendar,check,calendar,,save,,farthest,table view
please drag radio_button,drag,radio_button,dark,next,,bottom_right,add button
launch progress_bar,launch,progress_bar,secondary,filter,,top_right,
accept oc notification,accept,notification,,submit,47,left_edge,
you know delete checkbox,delete,checkbox,highlighted,,,farthest,email field
long_press searcb_box,long_press,search_box,,,70,third,audio player
close the image,close,image,,,91,nearest,footer
i think accept link,accept,link,red,,10,outside,
can you check dialog,check,dialog,,,50,first_row,
long_pres0 the cary,long_press,card,highlighted,success,69,second,dialog box
actually submit the notification,submit,notification,,share,,second,
can you accept audio,accept,audio,,previous,17,last_column,
car ycu deleet image,delete,image,green,,7,right_edge,
please accept menu,accept,menu,bold,,,center_right,settings button
submit the camera,submit,camera,focused,loading,63,first_row,save button
please long_press audio,long_press,audio,red,,32,inside,
drag the calendar,drag,calendar,green,,8,left_edge,header
please delete chart,delete,chart,,login,83,bottom_left,
actually drag on audio,drag,audio,small,notification,86,inside,
확인하세요 notification,submit,notification,,register,,center,audio player
please submit radio_button,submit,radio_button,large,,17,bottom_left,
please delete search_box,delete,search_box,,upload,96,left_edge,
drag 입력,drag,input,green,back,6,inside,search field
delete icon,delete,icon,,home,93,second_last,
c1o5e audio,close,audio,warning,submit,58,above,notification panel
drag the image,drag,image,,,,outside,table view
accept on p0pup,accept,popup,,share,86,below,password field
check radi2_button,check,radio_button,,warning,72,second,search field
check th6 sear7h_box,check,search_box,danger,,71,nearest,
close the audio,close,audio,,settings,12,after,
accept text,accept,text,highlighted,password,86,first_row,
long_press the switch,long_press,switch,large,info,,left,sort button
drag document,drag,document,,login,79,center_right,filter button
long_press the graph,long_press,graph,collapsed,,7,below,cancel button
actually check gallery,check,gallery,active,,96,bottom_left,
pl3ase c1o5e tab,close,tab,underlined,sort,,bottom_right,password field
삭제해 graph,delete,graph,,,35,second_last,
check menu,check,menu,,,49,second_row,audio player
close text,close,text,blue,,78,second_last,profile icon
can yju accept table,accept,table,red,sort,85,bottom_left,
can you launch document,launch,document,,,6,first_column,
accept the danger switch,accept,switch,danger,remove,,next_to,
please check phone_number,check,phone_number,italic,,,center,
accept on dropdown,accept,dropdown,dark,notification,95,bottom_left,
지우세요 table,delete,table,,back,74,top_right,
can you close image,close,image,,,54,nearest,
d6ag the password,drag,password,collapsed,phone,36,bottom_left,back button
login teyt,login,text,,back,19,last_column,
can you long_press image,long_press,image,,,11,outside,
