command,intent,target,attribute,label,index,relation,reference
check the notification,check,notification,active,,33,right_edge,cancel button
maybe unpin the camera,unpin,camera,,submit,96,center,
accept the dropdown,accept,dropdown,,retry,47,after,
check switch,check,switch,,retry,56,behind,
drag the popup,drag,popup,light,,86,before,
actually launch the progress_bar,launch,progress_bar,active,filter,10,under,audio player
drag camera,drag,camera,collapsed,,,above,calendar view
accept phone_number,accept,phone_number,,error,94,left_edge,
long_press table,long_press,table,,,4,in_front_of,
login chart,login,chart,success,message,26,next_to,chart view
please drag phone_number,drag,phone_number,,phone,,behind,
drag the tsb,drag,tab,focused,,75,top_right,
unpin file,unpin,file,focused,,99,lower_center,notification panel
please check popup,check,popup,focused,,19,center,
please long_press graph,long_press,graph,red,back,87,under,
launch 입력,launch,input,,,37,after,
long_press file,long_press,file,,cancel,3,bottom_right,
delete tab,delete,tab,,,35,center,
c1eck c2rd,check,card,focused,save,20,center,
please submit card,submit,card,active,,16,second_last,
delete the gallery,delete,gallery,,,86,before,
drag progress_bar,drag,progress_bar,,confirm,75,behind,
unpin dialog,unpin,dialog,,message,26,inside,
accept the popuo,accept,popup,green,,81,outside,share button
delete popup,delete,popup,red,,9,nearest,
just drag text,drag,text,expanded,,16,between,card list
ean yo6 check tabln,check,table,,,,left,
submit file,submit,file,large,cancel,77,second,
crn you close link,close,link,,error,32,above,upload button
login dropdown,login,dropdown,italic,,30,second_last,
drag card,drag,card,,login,,top_right,
삭제해 camera,delete,camera,,download,13,second,
maybe launch dropdown,launch,dropdown,bold,add,53,third,
login radio_button,login,radio_button,,,7,center_right,audio player
long_press radio_button,long_press,radio_button,focused,,79,center_right,
maybe launch the chart,launch,chart,dark,home,83,bottom_left,modal
long_press the notification,long_press,notification,underlined,,,next_to,address field
accept th3 progress_bar,accept,progress_bar,strikethrough,add,,bottom_right,
unpin slider,unpin,slider,strikethrough,info,10,first_row,
unpin file,unpin,file,,profile,,in_front_of,
can you accept menu,accept,menu,warning,password,7,lower_center,
long_press notification,long_press,notification,info,upload,,next_to,
close switch,close,switch,info,share,94,outside,
c1o5e password,close,password,expanded,,73,top_right,
drag link,drag,link,,settings,40,last_column,
long_press the chart,long_press,chart,small,loading,32,outside,submit button
please submi7 card,submit,card,,refresh,14,after,
launch on chart,launch,chart,primary,,39,next_to,
login camera,login,camera,underlined,,97,second_last,
launch 아이콘,launch,icon,,,5,nearest,menu button
close progress_bar,close,progress_bar,highlighted,search,63,last_column,
please close password,close,password,,,12,third,
delete checkbox,delete,checkbox,,,60,right_edge,
launch the p6pup,launch,popup,info,,53,second_last,
launch the chart,launch,chart,,,15,inside,
accept text,accept,text,collapsed,,59,next_to,
launch password,launch,password,,logout,67,between,
launch popup,launch,popup,,,96,above,
unpin menu first7row image gaklery,unpin,menu,,share,,first_row,image gallery
accept slider,accept,slider,,warning,72,next_to,
like please close card,close,card,,refresh,,below,
close password,close,password,highlighted,,80,between,map view
check dialog,check,dialog,red,profile,95,before,
login graph,login,graph,expanded,,,outside,sidebar menu
please accept card,accept,card,blue,register,75,in_front_of,share button
login dropdown,login,dropdown,,,,outside,share button
삭제 text,delete,text,large,download,49,top_right,
login document,login,document,light,,,in_front_of,footer
지우세요 file,delete,file,,,,right_edge,
check the popup,check,popup,underlined,,,left,
please launch icon,launch,icon,,,31,outside,
login message,login,message,highlighted,share,23,second_last,
close tab,close,tab,,previous,20,outside,
launch image,launch,image,secondary,,54,third,
지우세요 dropdown,delete,dropdown,collapsed,,3,under,notification panel
login input,login,input,,,53,left_edge,card list
login notification,login,notification,,notification,93,left,
close progress_bar,close,progress_bar,,,35,second,phone field
unpin chart,unpin,chart,,search,78,next_to,
please unpin ga1lery,unpin,gallery,collapsed,register,11,first_column,notification panel
check 체크박스,check,checkbox,,,,right_edge,
launch chart,launch,chart,,upload,52,second_last,
long_press slider,long_press,slider,yellow,,97,nearest,delete button
삭제 table,delete,table,dark,info,6,above,
ple7se de1ete jmage,delete,image,,upload,78,above,
login gallery,login,gallery,disabled,,,third,chart view
accept the progress_bar,accept,progress_bar,underlined,previous,41,last,
accept card,accept,card,,,1,farthest,
accept link,accept,link,,,67,second,phone field
please deleet camera,delete,camera,,message,,top_right,
drag phone_number,drag,phone_number,,,,lower_center,
accept password,accept,password,,,44,behind,sort button
drag popup,drag,popup,light,settings,51,after,top navigation
please de leaf document,delete,document,success,add,7,below,
login calendar,login,calendar,focused,profile,86,last_column,
drag audio,drag,audio,danger,password,54,first_column,export button
i think drag the dropdown,drag,dropdown,focused,,80,left,menu button
long_press input,long_press,input,yellow,message,,bottom_right,
launch notification,launch,notification,,submit,27,left_edge,modal
submit search_box,submit,search_box,expanded,edit,24,between,
long_press password,long_press,password,danger,,33,bottom_left,
launch dropdown,launch,dropdown,collapsed,,74,outside,
please drag progress_bar,drag,progress_bar,green,,,left,export button
drag tab,drag,tab,,error,,first_row,submit button
maybe check calendar,check,calendar,primary,,28,before,
unpin 입력,unpin,input,active,login,,between,
accept popup,accept,popup,,,,bottom_left,footer
launch camera,launch,camera,,share,29,second_row,
close link,close,link,expanded,info,,next_to,add button
please check radio_button,check,radio_button,expanded,,74,center,
login 아이콘,login,icon,danger,submit,40,first_column,
like drag the chart,drag,chart,strikethrough,download,68,first_row,export button
launch text,launch,text,light,notification,,top_right,export button
accept calendar,accept,calendar,blue,next,0,left_edge,
drag dropdown,drag,dropdown,bold,save,99,nearest,settings button
delete the phone_number,delete,phone_number,,empty,,second_row,
drag menu,drag,menu,,next,,outside,
long_press slider,long_press,slider,collapsed,search,73,in_front_of,
drag password,drag,password,large,,,first_column,search field
unpin the notification,unpin,notification,,filter,99,outside,
unpin text,unpin,text,,warning,52,second_row,menu button
can you launch link,launch,link,,profile,2,bottom_right,
unpin switch,unpin,switch,green,,,between,
uh leaf the image,delete,image,primary,empty,27,left_edge,
accept camera,accept,camera,,,,farthest,
accept image,accept,image,expanded,profile,70,lower_center,
unpin popup,unpin,popup,,,14,third,
삭제 chart,delete,chart,underlined,,,center_right,
launch audio,launch,audio,,loading,56,inside,
launch on gallery,launch,gallery,strikethrough,,52,bottom_left,
launch document,launch,document,expanded,,91,last_column,export button
delete the notification,delete,notification,,,,outside,footer
unpin tab,unpin,tab,,submit,,last_column,
just please drag text,drag,text,small,,,first_column,
long_press document,long_press,document,dark,,40,under,
launch switch,launch,switch,strikethrough,message,59,right_edge,settings button
login 아이콘,login,icon,bold,,25,inside,refresh button
unpin the icon,unpin,icon,,ok,39,second_row,table view
accept 입력,accept,input,info,home,,under,
삭제해 progress_bar,delete,progress_bar,dark,,65,above,audio player
accept image,accept,image,,,63,center,sidebar menu
login the text,login,text,,,14,third,
unpin progress_bar,unpin,progress_bar,red,next,50,next_to,
close tab,close,tab,,profile,,last_column,map view
submitt doopdown,submit,dropdown,large,,,nearest,filter button
drag tab,drag,tab,,export,44,second_row,sort button
close 아이콘,close,icon,,add,,bottom_right,
i think unpin the checkbox,unpin,checkbox,,save,66,below,table view
please launch text,launch,text,,import,,above,
maybe please check chart,check,chart,,,,second_row,
accept 체크박스,accept,checkbox,expanded,,65,between,
can you launch dropdown,launch,dropdown,light,,40,behind,
accept dialog,accept,dialog,success,,25,lower_center,
unpin menu,unpin,menu,large,home,,above,
launch password,launch,password,large,info,36,bottom_left,address field
can you long_press link,long_press,link,,,65,second_row,
drag 아이콘,drag,icon,,,16,outside,upload button
long_press radio_button,long_press,radio_button,,,45,last,
login 체크박스,login,checkbox,strikethrough,previous,,nearest,share button
close table,close,table,small,next,68,behind,
login message,login,message,,,87,center,sidebar menu
launch text,launch,text,warning,password,61,center_right,
login link,login,link,active,,73,first_column,
please delete icon,delete,icon,expanded,,4,left_edge,header
can you check message,check,message,green,share,,bottom_right,
login phone_number,login,phone_number,,,85,outside,
unpin camera,unpin,camera,,upload,46,left,
long_press card,long_press,card,success,delete,12,first_row,remove button
accept table,accept,table,,,75,left_edge,
drag search_box,drag,search_box,,,3,first_column,
accept calendar,accept,calendar,light,,,center_right,
login notification,login,notification,primary,,,below,upload button
accept switch,accept,switch,,,,above,
check radio_button,check,radio_button,,,,outside,
launch link,launch,link,blue,add,,between,
check on radio_button,check,radio_button,,upload,86,second_row,
accept phone_number,accept,phone_number,success,logout,94,second,
close popup,close,popup,highlighted,,,before,
can you long_press link,long_press,link,info,,77,last_column,
close image,close,image,,,6,center_right,
확인하세요 file,submit,file,success,next,47,top_right,
launch 아이콘,launch,icon,strikethrough,home,,above,footer
close gallery,close,gallery,,,69,first_row,
login menu,login,menu,large,,61,outside,header
drag the checkbox,drag,checkbox,dark,,65,second_last,
drag menu,drag,menu,secondary,empty,88,center,upload button
please login document,login,document,warning,retry,73,top_right,
please accept card,accept,card,,,65,last_column,
drag radio_button,drag,radio_button,bold,save,33,nearest,
long_press the card,long_press,card,focused,,,first_row,message field
can you unpin radio_button,unpin,radio_button,,save,37,center,add button
지우세요 search_box,delete,search_box,,,65,nearest,settings button
launch the file,launch,file,strikethrough,,13,right_edge,
actually accept the checkbox,accept,checkbox,,,39,left_edge,main content
launch audio,launch,audio,primary,,47,nearest,
launch dropdown,launch,dropdown,focused,,,under,
accept progrese_bar,accept,progress_bar,info,back,8,behind,chart view
launch phone_number,launch,phone_number,focused,,48,last_column,
delete audio,delete,audio,,,,last_column,
long_press image,long_press,image,highlighted,empty,,above,download button
accept slider,accept,slider,yellow,back,63,second_last,
like delete gallery,delete,gallery,,upload,80,after,
please check checkbox,check,checkbox,,,,left_edge,
long_press audio below table view,long_press,audio,,login,,below,table view
please delete link,delete,link,primary,back,42,last_column,refresh button
launch popup,launch,popup,red,,,first_row,footer
accept the iqage,accept,image,,,8,second,
check file,check,file,,,69,farthest,password field
can you close password,close,password,,,71,second,header
long_press radio_button,long_press,radio_button,small,loading,6,second_row,cancel button
accept the password,accept,password,danger,refresh,6,left_edge,
login camera,login,camera,warning,back,75,between,home button
launch th3 calend@r,launch,calendar,italic,ok,20,second,
launch text,launch,text,expanded,search,91,second,
just unpin menu,unpin,menu,yellow,,38,below,
i think close radio_button,close,radio_button,italic,import,65,outside,
cfeck the table,check,table,,edit,23,second_last,
check radio_button,check,radio_button,green,,,lower_center,popup
launch dialog,launch,dialog,underlined,,,second_last,save button
please unpin calendar,unpin,calendar,,,92,left_edge,video player
can you drag stitch,drag,switch,italic,,,inside,main content
long_press on checkbox,long_press,checkbox,expanded,share,88,in_front_of,
launch image,launch,image,bold,,76,bottom_right,upload button
launch switch,launch,switch,secondary,upload,84,under,
close calendar,close,calendar,,,37,farthest,edit button
please login calendar,login,calendar,,,28,bottom_right,
accept on calendar,accept,calendar,focused,loading,47,lower_center,phone field
accept checkbox,accept,checkbox,,,,before,
close the popup,close,popup,,message,62,third,notification panel
unpin the 1enu,unpin,menu,dark,cancel,6,above,popup
drag the input,drag,input,dark,,,top_right,settings button
close the tab,close,tab,info,loading,82,right_edge,
accept calendar,accept,calendar,,,,first_row,header
login audio,login,audio,green,ok,37,first_column,
login the link,login,link,underlined,retry,,behind,
accept the graph,accept,graph,focused,,,first_column,search bar
accept card,accept,card,underlined,,96,center_right,
drag the slider,drag,slider,active,,,behind,audio player
login dialog,login,dialog,,,98,first_row,image gallery
5an you ascept audio,accept,audio,,,20,after,
accept calendar,accept,calendar,,,13,first_column,
close calendar,close,calendar,,settings,43,center,
drag calendar,drag,calendar,,share,64,in_front_of,
check icon,check,icon,small,filter,,left_edge,sidebar menu
login image,login,image,,,,bottom_right,
clo5e t@b,close,tab,green,logout,61,bottom_right,
check text,check,text,disabled,,47,first_column,
logiz the link,login,link,large,download,,center,
i think please login slider,login,slider,primary,,95,last,top navigation
launch the chart,launch,chart,,,81,top_right,modal
check password,check,password,focused,,20,center,
can you close password,close,password,danger,loading,,left,
long_press radio_button,long_press,radio_button,,error,28,right_edge,
long_press text,long_press,text,,ok,4,farthest,
지우세요 image,delete,image,,,88,first_row,submit button
drag text,drag,text,,,67,after,
accept message,accept,message,,email,27,center_right,
unpin menu,unpin,menu,success,,44,inside,address field
accept table first_column back button,accept,table,blue,error,,first_column,back button
accept the popup,accept,popup,,,74,top_right,
just login the table,login,table,,download,17,last,table view
drag on checkbox,drag,checkbox,,success,,after,search bar
unpin link,unpin,link,,,18,lower_center,map view
drag progress_bar,drag,progress_bar,,,97,farthest,
long_press search_box,long_press,search_box,underlined,upload,,after,footer
drag audio,drag,audio,primary,,,next_to,
like drag the menu,drag,menu,,message,14,first_row,
check on calendar,check,calendar,,retry,37,second,
summit file,submit,file,,filter,27,bottom_right,
launch phone_number,launch,phone_number,highlighted,,58,third,
unpin switch,unpin,switch,info,error,53,top_right,
logid menu,login,menu,,,,center_right,
close camera,close,camera,,edit,73,inside,refresh button
check file,check,file,,submit,9,under,home button
launch the document,launch,document,,,,first_column,
long_presf dialog,long_press,dialog,,,45,bottom_right,
please close menu,close,menu,dark,,39,outside,
drag progress_bar,drag,progress_bar,success,profile,93,under,
unpin the notification,unpin,notification,red,add,,left,
long_press image,long_press,image,underlined,,51,farthest,
i think can you check dropdown,check,dropdown,secondary,,48,behind,video player
checb checkbox,check,checkbox,collapsed,,20,below,
login slider,login,slider,,,81,top_right,dialog box
close the message,close,message,,search,91,under,top navigation
drag dialog,drag,dialog,focused,,,under,
please launch message,launch,message,,,87,first_row,
can you login camera,login,camera,highlighted,edit,99,right_edge,modal
can you long_press file,long_press,file,,,,last,
drag next,drag,link,,next,97,last_column,
accept the card,accept,card,light,sort,,center,
can you unpin message,unpin,message,,confirm,,bottom_left,main content
삭제 search_box,delete,search_box,,,58,second_last,
login file,login,file,red,logout,,first_row,
지우세요 dialog,delete,dialog,,,,below,home button
long_press link,long_press,link,green,,,after,image gallery
unpin card,unpin,card,,profile,1,between,
launch card,launch,card,,,,between,
check icon,check,icon,yellow,,64,last_column,edit button
drag switch,drag,switch,strikethrough,password,11,in_front_of,sidebar menu
close password,close,password,bold,,5,farthest,
can you login file,login,file,,delete,,second,
login password,login,password,,logout,12,third,search bar
login 체크박스,login,checkbox,primary,,1,nearest,
maybe please drag icon,drag,icon,,cancel,66,before,
de1ete graph,delete,graph,success,,33,inside,upload button
login image,login,image,warning,refresh,85,last_column,
accept link,accept,link,italic,,24,first_row,
launch phone_number,launch,phone_number,green,previous,53,between,notification panel
drag the popup,drag,popup,,import,51,outside,
check password,check,password,,,18,between,address field
login slider,login,slider,highlighted,,,above,back button
close notification,close,notification,bold,,88,below,
login notification,login,notification,strikethrough,,70,second_last,
unpin the document,unpin,document,,register,39,between,
login camera,login,camera,focused,,76,outside,
just launch radio_button,launch,radio_button,blue,,68,center_right,
delete message,delete,message,,,,right_edge,
login search_box,login,search_box,large,loading,,after,filter button
long_press radio_button,long_press,radio_button,,,22,under,
close audio,close,audio,,,36,in_front_of,card list
long_press phone_number,long_press,phone_number,active,upload,69,behind,
launch dialog,launch,dialog,small,profile,,farthest,
can yog unpin radio_button,unpin,radio_button,underlined,delete,,lower_center,
login 아이콘,login,icon,highlighted,,0,next_to,video player
drag the dialog,drag,dialog,,,69,before,
login image,login,image,,,93,second_row,search bar
login card,login,card,primary,previous,65,top_right,
close progress_bar,close,progress_bar,info,settings,,left,
clo5e message,close,message,success,password,52,nearest,edit button
launch progress_bar,launch,progress_bar,,,21,last_column,
unpin 입력,unpin,input,,remove,61,farthest,import button
long_press menu,long_press,menu,warning,,99,center,
l9gin phone_number,login,phone_number,strikethrough,share,89,left_edge,
launch t5e file,launch,file,secondary,download,66,under,
please accept phone_number,accept,phone_number,bold,alert,77,above,modal
please check switch,check,switch,large,,54,behind,home button
삭제 popup,delete,popup,,,42,bottom_right,
long_press password,long_press,password,,loading,33,center,
unpin document,unpin,document,,,26,inside,
login document,login,document,dark,,,bottom_right,
ch3ck calendar,check,calendar,dark,home,,last_column,password field
drag slider,drag,slider,,share,50,bottom_left,
de1ete ahe pqogress_bar,delete,progress_bar,,,46,behind,header
launch text,launch,text,focused,,60,bottom_right,
drag popup,drag,popup,dark,search,84,center,
check dialog,check,dialog,,phone,41,behind,
long_press audio,long_press,audio,,add,,behind,password field
close the search_box,close,search_box,danger,,98,under,
check radio_button,check,radio_button,strikethrough,ok,,left_edge,
check chart,check,chart,,cancel,6,left_edge,
drag calendar,drag,calendar,,password,,under,cart icon
login dropdown,login,dropdown,blue,filter,99,last_column,top navigation
delte docament,delete,document,,save,25,above,cancel button
launch on table,launch,table,large,export,92,second,
close message,close,message,,confirm,84,first_row,
unpin chart,unpin,chart,disabled,,,below,cart icon
삭제해 message,delete,message,,download,31,next_to,home button
launch 체크박스,launch,checkbox,strikethrough,retry,56,bottom_right,top navigation
login menu,login,menu,,,39,last,address field
제출 file,submit,file,,,62,right_edge,
i think please drag slider,drag,slider,dark,,,under,remove button
지우세요 아이콘,delete,icon,,download,,under,
login on graph,login,graph,,success,,second_last,back button
삭제해 table,delete,table,,submit,70,last_column,sort button
launch popup,launch,popup,italic,edit,1,last_column,email field
check file,check,file,green,,25,farthest,
login the input,login,input,underlined,info,74,in_front_of,
check search_box,check,search_box,,,32,second_last,
지우세요 file,delete,file,active,,,above,share button
check audio,check,audio,info,,84,under,
accept image,accept,image,blue,search,35,top_right,
checu calendar,check,calendar,red,,,behind,
accept the link,accept,link,,filter,2,right_edge,
cheik the dialog,check,dialog,light,info,,inside,
drag gallery,drag,gallery,large,home,69,second_last,
please close file,close,file,dark,notification,,left_edge,
accept the table,accept,table,small,,,center_right,
please check cvart,check,chart,bold,,40,left,
check the icon,check,icon,,,34,between,
can you close graph,close,graph,,notification,,inside,
please delete calendar,delete,calendar,,delete,,next_to,
long_press password,long_press,password,light,delete,66,farthest,
i think can you login graph,login,graph,large,previous,94,next_to,
login on popup,login,popup,,register,91,left_edge,
can you login checkbox,login,checkbox,dark,empty,66,bottom_right,map view
login 체크박스,login,checkbox,warning,,86,center,
can you accept message,accept,message,,message,,bottom_left,
check search_box,check,search_box,,retry,,below,delete button
please check menu,check,menu,light,,69,lower_center,back button
삭제해 progress_bar,delete,progress_bar,,,38,above,dialog box
can you login table,login,table,italic,ok,54,under,
actually can you login file,login,file,,submit,,farthest,
please delete input,delete,input,blue,upload,,top_right,
check link,check,link,small,,73,inside,sidebar menu
please uh leaf document,delete,document,dark,sort,0,first_column,modal
check phone_number,check,phone_number,danger,,,first_row,map view
long_press on progress_bar,long_press,progress_bar,warning,search,16,center_right,
check gallery,check,gallery,warning,,95,farthest,
long_press the text,long_press,text,success,logout,,bottom_right,
unpin the progress_bar,unpin,progress_bar,,alert,62,under,address field
long_press file,long_press,file,disabled,save,89,left_edge,popup
check image,check,image,light,confirm,1,in_front_of,
please login text,login,text,,,19,second_last,
close password,close,password,,,,below,settings button
long_press menu,long_press,menu,,previous,66,in_front_of,top navigation
delete radio_button,delete,radio_button,,,,inside,footer
login radio_button,login,radio_button,,,39,above,
unpin th3 file,unpin,file,warning,,37,after,save button
check dialog,check,dialog,,,,lower_center,
지우세요 password,delete,password,,info,55,bottom_right,
unpin switch,unpin,switch,success,delete,6,in_front_of,add button
삭제해 graph,delete,graph,,next,87,top_right,password field
close switch,close,switch,expanded,,26,above,
pdease unpin slider,unpin,slider,strikethrough,,63,below,image gallery
actually launch document,launch,document,disabled,,,bottom_right,
drag dropdown,drag,dropdown,expanded,,13,inside,
check gallery,check,gallery,green,warning,6,bottom_right,
c1o5e the icon,close,icon,,,37,second_last,
launch camera,launch,camera,yellow,import,34,third,
삭제해 phone_number,delete,phone_number,italic,,55,center_right,map view
long_press on message,long_press,message,red,,86,bottom_right,refresh button
close the graph,close,graph,underlined,settings,,in_front_of,video player
check dialog,check,dialog,,address,,last_column,
unpin search_box,unpin,search_box,,,53,second_last,
close menu,close,menu,strikethrough,address,90,left_edge,
launch on search_box,launch,search_box,,,,third,
check camera,check,camera,,,21,bottom_right,
delete icon,delete,icon,,,,below,
please drag tab,drag,tab,light,,6,before,delete button
accept the gallery,accept,gallery,,,53,right_edge,
login on document,login,document,,confirm,,inside,back button
long_press the expanded message,long_press,message,expanded,,,before,
please accept camera,accept,camera,primary,,96,nearest,map view
can you launch dropdown,launch,dropdown,,confirm,,below,
drag text,drag,text,,alert,23,bottom_right,
launch the icon,launch,icon,,loading,33,inside,profile icon
maybe long_press the document,long_press,document,,download,48,bottom_right,search field
accept phone_number,accept,phone_number,blue,,62,under,
maybe accept the calendar,accept,calendar,,,43,last,
unpin camera,unpin,camera,collapsed,,40,second_last,delete button
long_press the disabled search_box,long_press,search_box,disabled,,97,next_to,
launch search_box,launch,search_box,primary,,93,first_row,
actually unpin password,unpin,password,,,,under,
close dropdown,close,dropdown,expanded,retry,41,inside,export button
지우세요 text,delete,text,highlighted,,44,third,back button
drag card,drag,card,dark,,59,behind,
actually can you drag search_box,drag,search_box,disabled,share,11,first_row,
drag text,drag,text,highlighted,,94,inside,
launch the graph,launch,graph,large,alert,66,right_edge,cart icon
unpin radio_button,unpin,radio_button,,,72,third,
accept text,accept,text,red,delete,21,second_row,
login link,login,link,,,45,second_row,cancel button
c1o5e gallery,close,gallery,warning,,,farthest,submit button
delete on input,delete,input,,notification,,between,sort button
unpin on card,unpin,card,light,search,29,left,
check gallery,check,gallery,,,,between,home button
launch card,launch,card,info,register,30,top_right,sidebar menu
drag card,drag,card,dark,,37,next_to,
long_press chart,long_press,chart,highlighted,notification,,bottom_right,
long_press notification,long_press,notification,,,9,last,sort button
delete the dropdown,delete,dropdown,dark,,27,farthest,profile icon
unpin switch,unpin,switch,yellow,,59,second,table view
close switch,close,switch,,,13,left,add button
제출 text,submit,text,underlined,notification,59,first_row,
삭제 chart,delete,chart,disabled,email,,second_last,audio player
accept chart,accept,chart,focused,previous,,left,
long_press card,long_press,card,strikethrough,,24,inside,
can you check chart,check,chart,danger,add,,center_right,download button
close password,close,password,,,,right_edge,popup
please close message,close,message,italic,,26,before,edit button
launch the notification,launch,notification,italic,settings,45,left_edge,notification panel
close message,close,message,,empty,,first_row,
can you close input,close,input,dark,,4,above,map view
close card,close,card,,cancel,,center_right,
unpin graph,unpin,graph,,error,65,bottom_left,
close the chart,close,chart,warning,,54,lower_center,main content
drag graph,drag,graph,green,,56,center,
launch password,launch,password,underlined,,18,last_column,
accept popup,accept,popup,,,47,left,
drag password,drag,password,,save,85,between,import button
login the calendar,login,calendar,highlighted,,27,bottom_left,main content
drag the input,drag,input,blue,,11,center,
check the image,check,image,disabled,profile,28,lower_center,notification panel
unpin camera,unpin,camera,bold,,76,between,
unpin 아이콘,unpin,icon,,,84,bottom_left,
close password,close,password,,,25,behind,
drag tab,drag,tab,,download,23,center_right,
drag camera,drag,camera,,search,86,after,
accept tab,accept,tab,secondary,share,68,lower_center,
ple@se c|ose document,close,document,,,7,third,main content
long_press popup,long_press,popup,,loading,5,bottom_left,sort button
close radio_button,close,radio_button,success,previous,85,center_right,filter button
check slider,check,slider,,success,41,right_edge,
accept table,accept,table,highlighted,notification,,above,
check the switch,check,switch,focused,,9,second_last,
unpin popup,unpin,popup,danger,,52,lower_center,export button
unpin link,unpin,link,,,20,after,submit button
login card,login,card,blue,loading,15,left,
pleane login dialog,login,dialog,danger,,48,behind,
삭제 calendar,delete,calendar,success,previous,97,in_front_of,
long_press dialog,long_press,dialog,,,,first_column,top navigation
long_press dropdown,long_press,dropdown,dark,,39,first_column,message field
drag the menu,drag,menu,underlined,address,24,nearest,
login switch,login,switch,blue,,,lower_center,map view
actually check notification,check,notification,,login,91,bottom_left,
check tab,check,tab,warning,phone,72,outside,audio player
can you xnpin phone_cumber,unpin,phone_number,collapsed,edit,4,between,
ujpin the document,unpin,document,blue,warning,43,under,notification panel
unpin popup,unpin,popup,green,,82,first_column,
drag radio_button,drag,radio_button,warning,,62,second,
unpin radio_button,unpin,radio_button,disabled,,75,right_edge,phone field
can you delete link,delete,link,blue,,,below,modal
login phone_number,login,phone_number,info,profile,25,behind,save button
delet link,delete,link,bold,,53,second,
close link,close,link,danger,upload,,second_row,
check graph,check,graph,large,,22,under,video player
지우세요 search_box,delete,search_box,blue,remove,55,farthest,map view
please drag dropdown,drag,dropdown,,export,65,first_row,
please submit file,submit,file,light,info,37,right_edge,
drag the message,drag,message,,add,,in_front_of,settings button
unpin popup,unpin,popup,warning,,,inside,card list
삭제해 체크박스,delete,checkbox,danger,,9,center_right,
check menu,check,menu,expanded,register,49,third,
launch table,launch,table,,phone,,behind,
삭제해 radio_button,delete,radio_button,,,84,center,
지우세요 table,delete,table,secondary,back,43,second_last,
unpin popup,unpin,popup,yellow,phone,75,after,
check menu,check,menu,,,77,farthest,
delete the text,delete,text,warning,,,top_right,
long_press the progress_bar,long_press,progress_bar,,cancel,61,center_right,
launch the password,launch,password,,alert,,inside,
you know check checkbox,check,checkbox,,phone,52,third,
check text,check,text,,,56,behind,popup
accept on document,accept,document,underlined,edit,21,second,
drag 0n password,drag,password,,,27,nearest,
accept the file,accept,file,italic,alert,29,lower_center,download button
please accept checkbox,accept,checkbox,highlighted,,37,farthest,
delete the dialog,delete,dialog,,save,73,behind,search field
long_press radio_button,long_press,radio_button,collapsed,empty,9,above,
drag camera,drag,camera,danger,,,lower_center,sort button
long_press switch,long_press,switch,dark,,50,after,remove button
long_press phone_number,long_press,phone_number,active,save,,second,dialog box
check notification,check,notification,,retry,,last_column,notification panel
check the table,check,table,primary,retry,19,nearest,
launch menu,launch,menu,,save,65,farthest,
can you launch calend@r,launch,calendar,,,52,second_last,
can you drag chart,drag,chart,disabled,,,after,
close the chart,close,chart,collapsed,,18,left,
check password,check,password,active,,3,inside,cancel button
check icon,check,icon,danger,import,,inside,message field
drag link,drag,link,,download,42,bottom_left,
unpin radio_button,unpin,radio_button,,login,16,bottom_right,
unpin tab,unpin,tab,,,76,right_edge,password field
launch dialog,launch,dialog,,,27,between,submit button
drag image,drag,image,,warning,9,under,phone field
drag dark password,drag,password,dark,,,after,
drag tab,drag,tab,red,,36,behind,top navigation
pleose unpin link,unpin,link,dark,settings,15,in_front_of,modal
삭제해 image,delete,image,,,6,last_column,footer
accept password,accept,password,,,92,top_right,
지우세요 file,delete,file,small,,,second_row,video player
drag calendar,drag,calendar,,,48,last_column,top navigation
can you login document,login,document,,back,28,before,
please check document,check,document,dark,,77,first_column,refresh button
pl8ase delte ca3d,delete,card,highlighted,,,above,
ilease long_press vext,long_press,text,,previous,,farthest,
login the link,login,link,,,,between,
unpin dropdown,unpin,dropdown,bold,submit,14,center,delete button
can you drag table,drag,table,disabled,,85,last,
tccept inpu,accept,input,success,search,70,in_front_of,
long_press 체크박스,long_press,checkbox,dark,,8,last_column,
you know long_press the image,long_press,image,blue,settings,,in_front_of,refresh button
can you c1o5e checkbox,close,checkbox,underlined,,62,second_row,profile icon
unpin 체크박스,unpin,checkbox,large,,19,first_column,
submit dropdown,submit,dropdown,disabled,retry,,under,
login gallery,login,gallery,,,10,first_row,
launch link,launch,link,danger,submit,,in_front_of,
login password,login,password,focused,,,between,edit button
unpin 입력,unpin,input,collapsed,sort,2,inside,
unpin gallery,unpin,gallery,large,settings,80,second_last,
launch audio,launch,audio,,,,first_column,
check checkbox,check,checkbox,italic,success,22,farthest,home button
zlease close password,close,password,secondary,,90,above,delete button
can you check dropdown,check,dropdown,,,88,top_right,
long_press on audio,long_press,audio,blue,sort,61,farthest,
close phone_number,close,phone_number,light,,49,first_column,
login camera,login,camera,blue,,13,bottom_right,dialog box
maybe drag the calendar,drag,calendar,large,error,82,between,
can you launch progress_bar,launch,progress_bar,,home,,outside,video player
accept progress_bar,accept,progress_bar,,,26,under,message field
close the phone_number,close,phone_number,,,,bottom_right,
unpin dialog,unpin,dialog,,,56,last_column,
unpin chart,unpin,chart,primary,empty,,above,
launch the phone_number,launch,phone_number,disabled,login,62,bottom_left,
check chart,check,chart,info,,43,third,
drag image,drag,image,expanded,address,,last,
